id,Sup,age,nStanze,y_age,anno
1,70.0,3,2.0,171000.0,2021
2,125.0,26,4.0,200000.0,1998
3,95.0,40,3.0,145000.0,1984
4,109.0,4,3.0,222000.0,2020
5,119.0,66,4.0,127000.0,1958
6,124.0,31,4.0,211000.0,1993
7,118.0,27,4.0,187000.0,1997
8,118.0,16,4.0,236000.0,2008
9,76.0,70,2.0,92000.0,1954
10,126.0,4,4.0,244000.0,2020
11,136.0,31,4.0,221000.0,1993
12,102.0,14,3.0,193000.0,2010
13,99.0,37,3.0,160000.0,1987
14,59.0,43,2.0,100000.0,1981
15,67.0,45,2.0,117000.0,1979
16,103.0,37,3.0,162000.0,1987
17,117.0,67,4.0,123000.0,1957
18,129.0,35,4.0,198000.0,1989
19,101.0,19,3.0,193000.0,2005
20,127.0,7,4.0,240000.0,2017
21,99.0,26,3.0,187000.0,1998
22,79.0,61,2.0,103000.0,1963
23,131.0,52,4.0,172000.0,1972
24,128.0,7,4.0,244000.0,2017
25,107.0,63,3.0,124000.0,1961
26,114.0,61,3.0,125000.0,1963
27,113.0,6,3.0,230000.0,2018
28,115.0,25,3.0,206000.0,1999
29,77.0,12,2.0,169000.0,2012
30,95.0,23,3.0,171000.0,2001
31,94.0,21,3.0,177000.0,2003
32,88.0,5,3.0,189000.0,2019
33,136.0,9,4.0,255000.0,2015
34,116.0,73,4.0,113000.0,1951
35,109.0,69,3.0,109000.0,1955
36,112.0,62,3.0,122000.0,1962
37,104.0,74,3.0,97000.0,1950
38,89.0,23,3.0,162000.0,2001
39,76.0,7,2.0,184000.0,2017
40,95.0,5,3.0,196000.0,2019
41,95.0,25,3.0,177000.0,1999
42,111.0,29,3.0,168000.0,1995
43,123.0,44,4.0,171000.0,1980
44,119.0,27,4.0,195000.0,1997
45,96.0,4,3.0,208000.0,2020
46,124.0,25,4.0,209000.0,1999
47,90.0,18,3.0,173000.0,2006
48,141.0,7,4.0,268000.0,2017
49,116.0,1,4.0,220000.0,2023
50,87.0,54,3.0,116000.0,1970
51,96.0,34,3.0,162000.0,1990
52,96.0,7,3.0,201000.0,2017
53,112.0,53,3.0,144000.0,1971
54,105.0,16,3.0,203000.0,2008
55,93.0,17,3.0,170000.0,2007
56,94.0,60,3.0,125000.0,1964
57,136.0,18,4.0,229000.0,2006
58,112.0,29,3.0,196000.0,1995
59,104.0,65,3.0,112000.0,1959
60,81.0,54,2.0,111000.0,1970
61,117.0,24,4.0,201000.0,2000
62,63.0,67,2.0,74000.0,1957
63,105.0,50,3.0,145000.0,1974
64,92.0,20,3.0,165000.0,2004
65,82.0,47,2.0,135000.0,1977
