id,Sup,age,nStanze,y_age,anno
1,104.0,26,3.0,144000.0,1998
2,102.0,5,3.0,182000.0,2019
3,113.0,20,3.0,166000.0,2004
4,118.0,31,3.0,136000.0,1993
5,116.0,38,3.0,123000.0,1986
6,150.0,17,4.0,225000.0,2007
7,94.0,16,3.0,158000.0,2008
8,112.0,73,3.0,22000.0,1951
9,89.0,53,2.0,65000.0,1971
10,107.0,71,3.0,27000.0,1953
11,161.0,6,4.0,291000.0,2018
12,77.0,41,2.0,81000.0,1983
13,100.0,11,3.0,174000.0,2013
14,134.0,16,4.0,208000.0,2008
15,111.0,70,3.0,31000.0,1954
16,115.0,30,3.0,140000.0,1994
17,111.0,74,3.0,20000.0,1950
18,97.0,67,3.0,34000.0,1957
19,145.0,33,4.0,171000.0,1991
20,83.0,5,2.0,155000.0,2019
21,133.0,21,4.0,187000.0,2003
22,112.0,32,3.0,134000.0,1992
23,142.0,44,4.0,128000.0,1980
24,138.0,47,4.0,112000.0,1977
25,155.0,4,4.0,293000.0,2020
26,116.0,8,3.0,206000.0,2016
27,68.0,26,2.0,102000.0,1998
28,110.0,35,3.0,124000.0,1989
29,85.0,33,2.0,109000.0,1991
30,114.0,44,3.0,106000.0,1980
31,111.0,49,3.0,87000.0,1975
32,117.0,64,3.0,49000.0,1960
33,78.0,12,2.0,128000.0,2012
34,126.0,25,4.0,175000.0,1999
35,134.0,27,4.0,168000.0,1997
36,142.0,30,4.0,168000.0,1994
37,125.0,27,3.0,160000.0,1997
38,116.0,22,3.0,165000.0,2002
39,112.0,25,3.0,159000.0,1999
40,98.0,36,3.0,110000.0,1988
41,126.0,2,4.0,238000.0,2022
42,159.0,6,4.0,277000.0,2018
43,117.0,44,3.0,108000.0,1980
44,123.0,41,3.0,119000.0,1983
45,149.0,13,4.0,238000.0,2011
46,109.0,74,3.0,19000.0,1950
47,116.0,1,3.0,228000.0,2023
48,142.0,48,4.0,112000.0,1976
49,62.0,29,2.0,85000.0,1995
