Sup,nStanze,age,y_age,id,anno
45.0,2.0,43.0,120000.0,0.0,0.0
99.0,4.0,35.0,285000.0,0.0,0.0
71.0,3.0,50.0,211000.0,0.0,0.0
41.0,2.0,41.0,103000.0,0.0,0.0
86.0,3.0,54.0,252000.0,0.0,0.0
103.0,4.0,42.0,292000.0,0.0,0.0
54.0,2.0,38.0,156000.0,0.0,0.0
61.0,2.0,40.0,177000.0,0.0,0.0
96.0,4.0,37.0,278000.0,0.0,0.0
90.0,4.0,40.0,264000.0,0.0,0.0
93.0,4.0,29.0,272000.0,0.0,0.0
103.0,4.0,31.0,293000.0,0.0,0.0
119.0,5.0,35.0,321000.0,0.0,0.0
90.0,4.0,47.0,264000.0,0.0,0.0
66.0,3.0,50.0,194000.0,0.0,0.0
71.0,3.0,47.0,211000.0,0.0,0.0
91.0,4.0,39.0,266000.0,0.0,0.0
110.0,4.0,48.0,304000.0,0.0,0.0
85.0,3.0,37.0,251000.0,0.0,0.0
96.0,4.0,17.0,280000.0,0.0,0.0
52.0,2.0,35.0,147000.0,0.0,0.0
116.0,5.0,23.0,317000.0,0.0,0.0
91.0,4.0,38.0,266000.0,0.0,0.0
114.0,5.0,43.0,312000.0,0.0,0.0
55.0,2.0,43.0,156000.0,0.0,0.0
66.0,3.0,40.0,196000.0,0.0,0.0
83.0,3.0,56.0,244000.0,0.0,0.0
112.0,4.0,36.0,309000.0,0.0,0.0
57.0,2.0,34.0,165000.0,0.0,0.0
74.0,3.0,43.0,218000.0,0.0,0.0
84.0,3.0,27.0,250000.0,0.0,0.0
114.0,5.0,36.0,313000.0,0.0,0.0
86.0,3.0,35.0,254000.0,0.0,0.0
75.0,3.0,40.0,225000.0,0.0,0.0
87.0,3.0,45.0,255000.0,0.0,0.0
75.0,3.0,43.0,224000.0,0.0,0.0
83.0,3.0,50.0,245000.0,0.0,0.0
82.0,3.0,57.0,241000.0,0.0,0.0
82.0,3.0,33.0,244000.0,0.0,0.0
91.0,4.0,42.0,266000.0,0.0,0.0
63.0,3.0,45.0,184000.0,0.0,0.0
68.0,3.0,47.0,202000.0,0.0,0.0
120.0,5.0,44.0,322000.0,0.0,0.0
81.0,3.0,52.0,239000.0,0.0,0.0
96.0,4.0,42.0,277000.0,0.0,0.0
104.0,4.0,42.0,294000.0,0.0,0.0
109.0,4.0,43.0,304000.0,0.0,0.0
82.0,3.0,41.0,242000.0,0.0,0.0
97.0,4.0,26.0,281000.0,0.0,0.0
49.0,2.0,29.0,137000.0,0.0,0.0
99.0,4.0,46.0,284000.0,0.0,0.0
65.0,3.0,32.0,193000.0,0.0,0.0
61.0,2.0,34.0,180000.0,0.0,0.0
90.0,4.0,32.0,264000.0,0.0,0.0
101.0,4.0,41.0,288000.0,0.0,0.0
128.0,5.0,34.0,334000.0,0.0,0.0
119.0,5.0,36.0,320000.0,0.0,0.0
98.0,4.0,55.0,280000.0,0.0,0.0
83.0,3.0,49.0,245000.0,0.0,0.0
102.0,4.0,47.0,289000.0,0.0,0.0
83.0,3.0,35.0,247000.0,0.0,0.0
85.0,4.0,34.0,252000.0,0.0,0.0
92.0,4.0,34.0,270000.0,0.0,0.0
107.0,4.0,39.0,301000.0,0.0,0.0
111.0,5.0,45.0,307000.0,0.0,0.0
73.0,3.0,41.0,218000.0,0.0,0.0
77.0,3.0,44.0,230000.0,0.0,0.0
74.0,3.0,52.0,219000.0,0.0,0.0
83.0,3.0,33.0,247000.0,0.0,0.0
77.0,3.0,48.0,229000.0,0.0,0.0
105.0,4.0,27.0,298000.0,0.0,0.0
103.0,4.0,38.0,292000.0,0.0,0.0
54.0,2.0,38.0,155000.0,0.0,0.0
66.0,3.0,35.0,198000.0,0.0,0.0
115.0,5.0,42.0,314000.0,0.0,0.0
114.0,5.0,28.0,314000.0,0.0,0.0
