X,y
1.0,4.25
1.13,3.48
1.26,4.89
1.38,6.5
1.51,3.89
1.64,4.07
1.77,7.3
1.89,6.15
2.02,4.21
2.15,6.18
2.28,4.58
2.4,4.75
2.53,6.25
2.66,2.37
2.79,2.86
2.91,5.27
3.04,4.55
3.17,7.38
3.3,5.09
3.42,4.21
3.55,10.41
3.68,7.03
3.81,7.85
3.93,4.77
4.06,6.88
4.19,8.53
4.32,5.84
4.44,9.53
4.57,7.45
4.7,8.35
4.83,7.79
4.95,13.94
5.08,9.59
5.21,7.17
5.34,12.08
5.46,7.07
5.59,10.93
5.72,5.45
5.85,7.25
5.97,11.49
6.1,13.15
6.23,11.81
6.36,11.21
6.48,10.88
6.61,7.73
6.74,10.05
6.87,10.97
6.99,15.58
7.12,13.69
7.25,7.62
7.38,14.04
7.5,12.08
7.63,11.37
7.76,15.53
7.89,17.06
8.01,16.96
8.14,11.53
8.27,13.41
8.4,15.67
8.52,17.99
8.65,13.39
8.78,14.55
8.91,11.63
9.03,11.48
9.16,18.53
9.29,20.63
9.42,15.87
9.54,19.85
9.67,17.79
9.8,14.39
9.93,18.2
10.05,22.69
10.18,17.14
10.31,23.26
10.44,7.87
10.56,20.94
10.69,18.37
10.82,17.08
10.95,18.77
11.07,10.89
11.2,17.94
11.33,20.4
11.46,25.06
11.58,17.3
11.71,16.3
11.84,17.72
11.97,23.7
12.09,21.5
12.22,18.13
12.35,22.67
12.48,21.12
12.6,25.02
12.73,18.09
12.86,19.88
12.99,19.78
13.11,15.28
13.24,23.17
13.37,23.21
13.5,22.27
13.62,21.38
13.75,16.23
13.88,20.9
14.01,21.44
14.13,19.5
14.26,22.64
14.39,25.47
14.52,32.64
14.64,24.79
14.77,25.38
14.9,23.99
15.03,15.29
15.15,24.6
15.28,25.22
15.41,37.22
15.54,24.35
15.66,27.0
15.79,25.51
15.92,20.0
16.05,31.86
16.17,30.09
16.3,30.51
16.43,21.96
16.56,34.11
16.68,19.72
16.81,30.3
16.94,38.96
17.07,22.35
17.19,24.77
17.32,28.52
17.45,25.46
17.58,19.95
17.7,28.93
17.83,22.92
17.96,31.55
18.09,24.03
18.21,37.97
18.34,25.12
18.47,27.89
18.6,34.51
18.72,23.07
18.85,31.58
18.98,38.0
19.11,21.36
19.23,31.93
19.36,32.56
19.49,35.83
19.62,24.12
19.74,23.77
19.87,34.92
20.0,33.78
