X,y
1.0,4.25
1.39,3.87
1.78,5.67
2.16,7.64
2.55,5.45
2.94,6.03
3.33,9.59
3.71,8.85
4.1,7.36
4.49,9.67
4.88,8.51
5.27,9.07
5.65,10.91
6.04,7.58
6.43,8.46
6.82,11.17
7.2,10.89
7.59,13.99
7.98,12.21
8.37,11.78
8.76,18.05
9.14,15.26
9.53,16.43
9.92,13.94
10.31,16.32
10.69,18.28
11.08,16.16
11.47,20.02
11.86,18.47
12.24,19.72
12.63,19.6
13.02,25.72
13.41,22.08
13.8,20.25
14.18,25.19
14.57,20.98
14.96,24.94
15.35,20.31
15.73,22.37
16.12,26.67
16.51,28.6
16.9,27.78
17.29,27.64
17.67,27.74
18.06,25.28
18.45,27.8
18.84,29.05
19.22,33.64
19.61,32.34
20.0,27.24
