X,y
0.0,1.99
0.2,1.22
0.41,3.32
0.61,5.57
0.82,2.58
1.02,3.08
1.22,7.21
1.43,6.11
1.63,4.14
1.84,6.69
2.04,5.17
2.24,5.67
2.45,7.61
2.65,3.8
2.86,4.7
3.06,7.53
3.27,7.15
3.47,10.3
3.67,8.36
3.88,7.88
4.08,14.13
4.29,11.27
4.49,12.36
4.69,9.88
4.9,12.16
5.1,13.97
5.31,11.97
5.51,15.53
5.71,14.07
5.92,15.22
6.12,15.1
6.33,20.53
6.53,17.3
6.73,15.71
6.94,20.0
7.14,16.41
7.35,19.79
7.55,15.96
7.76,17.74
7.96,21.29
8.16,22.88
8.37,22.27
8.57,22.19
8.78,22.35
8.98,20.49
9.18,22.51
9.39,23.55
9.59,27.09
9.8,26.19
10.0,22.47
