A,B,E,nt
97,87,182,3
97,88,181,3
98,85,182,3
116,103,183,5
91,78,173,2
145,132,182,9
132,120,175,7
98,85,176,3
106,94,184,4
74,65,179,0
148,134,180,9
147,133,189,9
132,117,180,7
123,108,180,6
114,102,179,5
120,110,176,6
97,85,187,3
129,119,189,7
123,108,183,6
72,68,171,0
88,79,180,2
115,104,178,5
76,68,174,0
136,125,177,8
72,66,177,0
121,108,181,6
88,80,175,2
107,94,176,4
148,136,180,9
108,94,179,4
130,116,187,7
137,128,187,8
148,135,178,9
76,66,176,0
121,112,183,6
145,135,189,9
130,119,183,7
80,72,174,1
81,74,173,1
148,133,176,9
89,80,176,2
144,136,177,9
114,103,188,5
145,132,180,9
132,117,188,7
84,73,174,1
99,85,181,3
113,102,180,5
138,127,183,8
82,72,179,1
131,119,176,7
107,95,185,4
96,87,184,3
132,118,176,7
107,95,187,4
91,80,177,2
138,125,179,8
113,103,185,5
138,125,178,8
116,100,183,5
107,92,185,4
123,108,177,6
90,76,175,2
130,116,188,7
136,127,175,8
90,77,170,2
128,116,182,7
107,95,177,4
91,79,172,2
140,126,188,8
75,64,173,0
112,101,182,5
122,112,187,6
122,109,177,6
123,111,184,6
116,100,177,5
139,125,177,8
105,96,177,4
140,126,184,8
100,86,181,3
139,128,180,8
105,94,187,4
123,110,176,6
75,65,181,0
114,102,185,5
114,103,175,5
84,73,179,1
100,87,176,3
76,67,176,0
147,136,184,9
