s,t,delta
3436,1,0
3436,2,0
3437,1,1
3437,2,0
3435,1,-2
3436,2,1
3436,1,0
3437,2,1
3436,1,-1
3436,2,0
3437,1,1
3437,2,0
3437,1,0
3437,2,0
3436,1,-1
3437,2,1
3437,1,0
3439,2,2
3437,1,-2
3438,2,1
3437,1,-1
3437,2,0
3438,1,1
3439,2,1
3439,1,0
3439,2,0
3440,1,1
3439,2,-1
3441,1,2
3433,2,-8
3426,1,-7
3412,2,-14
3402,1,-10
3383,2,-19
3361,1,-22
3337,2,-24
3301,1,-36
3269,2,-32
3237,1,-32
3200,2,-37
3163,1,-37
3123,2,-40
3080,1,-43
3045,2,-35
3000,1,-45
2954,2,-46
2908,1,-46
2861,2,-47
2807,1,-54
2757,2,-50
2711,1,-46
2662,2,-49
2612,1,-50
2566,2,-46
2526,1,-40
2477,2,-49
2429,1,-48
2380,2,-49
2330,1,-50
2270,2,-60
2227,1,-43
2182,2,-45
2135,1,-47
2082,2,-53
2040,1,-42
1987,2,-53
1943,1,-44
1902,2,-41
1848,1,-54
1813,2,-35
1759,1,-54
1715,2,-44
1672,1,-43
1627,2,-45
1586,1,-41
1543,2,-43
1511,1,-32
1472,2,-39
1431,1,-41
1394,2,-37
1356,1,-38
1319,2,-37
1285,1,-34
1240,2,-45
1207,1,-33
1175,2,-32
1141,1,-34
1111,2,-30
1082,1,-29
1051,2,-31
1023,1,-28
1003,2,-20
976,1,-27
953,2,-23
928,1,-25
906,2,-22
887,1,-19
868,2,-19
846,1,-22
831,2,-15
814,1,-17
797,2,-17
782,1,-15
758,2,-24
744,1,-14
733,2,-11
723,1,-10
712,2,-11
704,1,-8
694,2,-10
686,1,-8
678,2,-8
671,1,-7
666,2,-5
662,1,-4
656,2,-6
652,1,-4
648,2,-4
644,1,-4
641,2,-3
639,1,-2
635,2,-4
633,1,-2
631,2,-2
630,1,-1
629,2,-1
628,1,-1
626,2,-2
625,1,-1
624,2,-1
622,1,-2
622,2,0
621,1,-1
621,2,0
620,1,-1
619,2,-1
620,1,1
619,2,-1
620,1,1
619,2,-1
620,1,1
620,2,0
620,1,0
620,2,0
620,1,0
619,2,-1
620,1,1
620,2,0
620,1,0
621,2,1
620,1,-1
620,2,0
620,1,0
620,2,0
620,1,0
620,2,0
620,1,0
619,2,-1
622,1,3
622,2,0
620,1,-2
621,2,1
621,1,0
621,2,0
621,1,0
622,2,1
622,1,0
623,2,1
623,1,0
622,2,-1
619,1,-3
619,2,0
623,1,4
623,2,0
624,1,1
626,2,2
626,1,0
627,2,1
628,1,1
627,2,-1
629,1,2
629,2,0
630,1,1
631,2,1
632,1,1
634,2,2
636,1,2
637,2,1
639,1,2
642,2,3
641,1,-1
644,2,3
645,1,1
645,2,0
647,1,2
650,2,3
650,1,0
652,2,2
655,1,3
658,2,3
661,1,3
663,2,2
665,1,2
668,2,3
671,1,3
675,2,4
677,1,2
681,2,4
685,1,4
690,2,5
693,1,3
696,2,3
701,1,5
705,2,4
709,1,4
712,2,3
717,1,5
721,2,4
725,1,4
728,2,3
732,1,4
736,2,4
737,1,1
741,2,4
743,1,2
747,2,4
