t,delta
1,0
2,0
3,0
4,0
5,-1
6,1
7,1
8,-1
9,-1
10,0
11,-9
12,-32
13,-46
14,-64
15,-87
16,-100
17,-103
18,-89
19,-79
20,-69
21,-63
22,-65
23,-63
24,-63
25,-48
26,-47
27,-40
28,-40
29,-37
30,-28
31,-40
32,-37
33,-38
34,-37
35,-33
36,-33
37,-44
38,-34
39,-31
40,-31
41,-25
42,-22
43,-16
44,-15
45,-20
46,-26
47,-22
48,-22
49,-18
50,-16
51,-15
52,-12
53,-16
54,-20
55,-20
56,-15
57,-15
58,-12
59,-8
60,-7
61,-9
62,-14
63,-13
64,-11
65,-8
66,-18
67,-8
68,-11
69,-7
70,-6
71,-9
72,-9
73,-9
74,-7
75,-4
76,-4
77,-5
78,-8
79,-6
80,-5
81,-5
82,-6
83,-6
84,-6
85,-3
86,-5
87,-4
88,-5
89,-3
90,-5
91,-2
92,-1
93,-5
94,-2
95,-5
96,-1
97,-3
98,-2
99,-3
100,-1
101,-2
102,-3
103,0
104,0
105,-2
106,0
107,-1
108,0
109,0
110,-3
111,-4
112,-5
113,-4
114,-4
115,-1
116,-3
117,-1
118,0
119,0
120,0
121,-2
122,-1
123,-2
124,1
125,-2
126,0
127,0
128,0
129,-1
130,0
131,0
132,-1
133,1
134,-1
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
