s,t,delta
757,1,0
757,2,0
899,3,142
1187,4,288
1578,5,391
2041,6,463
2522,7,481
2974,8,452
3363,9,389
3636,10,273
3776,11,140
3759,12,-17
3588,13,-171
3280,14,-308
2881,15,-399
2420,16,-461
1948,17,-472
1504,18,-444
1121,19,-383
862,20,-259
751,21,-111
778,22,27
948,23,170
1262,24,314
1665,25,403
2136,26,471
2608,27,472
3057,28,449
3431,29,374
3678,30,247
3785,31,107
3737,32,-48
3543,33,-194
3206,34,-337
2788,35,-418
2321,36,-467
1852,37,-469
1420,38,-432
1056,39,-364
826,40,-230
747,41,-79
798,42,51
1003,43,205
1346,44,343
1759,45,413
2233,46,474
2705,47,472
3140,48,435
3495,49,355
3714,50,219
3789,51,75
3705,52,-84
3482,53,-223
3123,54,-359
2688,55,-435
2216,56,-472
1745,57,-471
1337,58,-408
998,59,-339
797,60,-201
748,61,-49
828,62,80
1064,63,236
1432,64,368
1868,65,436
2347,66,479
2809,67,462
3222,68,413
3557,69,335
3744,70,187
3783,71,39
3669,72,-114
3415,73,-254
3035,74,-380
2587,75,-448
2114,76,-473
1648,77,-466
1249,78,-399
941,79,-308
776,80,-165
751,81,-25
865,82,114
1134,83,269
1518,84,384
1968,85,450
2448,86,480
2911,87,463
3299,88,388
3603,89,304
3766,90,163
3773,91,7
3625,92,-148
3340,93,-285
2951,94,-389
2498,95,-453
2020,96,-478
1557,97,-463
1173,98,-384
891,99,-282
755,100,-136
765,101,10
911,102,146
1205,103,294
1601,104,396
2065,105,464
2545,106,480
3000,107,455
3381,108,381
3650,109,269
3779,110,129
3754,111,-25
3580,112,-174
3260,113,-320
2860,114,-400
2396,115,-464
1920,116,-476
1480,117,-440
1102,118,-378
850,119,-252
750,120,-100
781,121,31
963,122,182
1290,123,327
1695,124,405
2165,125,470
2637,126,472
3084,127,447
3448,128,364
3691,129,243
3786,130,95
3729,131,-57
3525,132,-204
3179,133,-346
2753,134,-426
2286,135,-467
1820,136,-466
1391,137,-429
1034,138,-357
815,139,-219
747,140,-68
807,141,60
1016,142,209
1373,143,357
1798,144,425
2268,145,470
2739,146,471
3167,147,428
3515,148,348
3724,149,209
3789,150,65
3696,151,-93
3460,152,-236
3095,153,-365
2655,154,-440
2182,155,-473
1712,156,-470
1308,157,-404
978,158,-330
788,159,-190
747,160,-41
839,161,92
1091,162,252
1460,163,369
1902,164,442
2380,165,478
2845,166,465
3249,167,404
3573,168,324
3752,169,179
3782,170,30
3655,171,-127
3391,172,-264
3012,173,-379
2560,174,-452
2074,175,-486
1619,176,-455
1222,177,-397
920,178,-302
767,179,-153
752,180,-15
879,181,127
