Meteo,Umidità,Gioca
Soleggiato,Alta,Sì
Nuvoloso,Alta,No
Piovoso,Bassa,No
Piovoso,Alta,No
Piovoso,Alta,Sì
Nuvoloso,Bassa,Sì
Nuvoloso,Media,Sì
Piovoso,Bassa,No
Soleggiato,Alta,No
Nuvoloso,Media,No
Soleggiato,Alta,Sì
Piovoso,Alta,No
Piovoso,Bassa,No
Soleggiato,Alta,Sì
Piovoso,Media,Sì
Piovoso,Media,Sì
Soleggiato,Media,Sì
Nuvoloso,Bassa,No
Piovoso,Alta,Sì
Soleggiato,Media,Sì
Nuvoloso,Bassa,No
Soleggiato,Media,Sì
Piovoso,Bassa,Sì
Piovoso,Alta,Sì
Piovoso,Media,Sì
Nuvoloso,Alta,No
Piovoso,Bassa,Sì
Piovoso,Bassa,No
Soleggiato,Alta,No
Piovoso,Media,Sì
Soleggiato,Alta,No
Nuvoloso,Media,Sì
Soleggiato,Media,Sì
Soleggiato,Bassa,No
Soleggiato,Media,No
Nuvoloso,Media,No
Soleggiato,Alta,Sì
Piovoso,Alta,Sì
Soleggiato,Alta,No
Soleggiato,Alta,Sì
Nuvoloso,Bassa,Sì
Piovoso,Media,Sì
Soleggiato,Media,Sì
Nuvoloso,Alta,No
Piovoso,Bassa,Sì
Nuvoloso,Bassa,No
Soleggiato,Alta,Sì
Soleggiato,Bassa,No
Piovoso,Media,No
Soleggiato,Alta,Sì
Piovoso,Media,No
Nuvoloso,Media,No
Piovoso,Alta,No
Piovoso,Bassa,No
Piovoso,Bassa,No
Soleggiato,Media,No
Piovoso,Media,Sì
Nuvoloso,Media,Sì
Nuvoloso,Media,Sì
Nuvoloso,Media,Sì
Piovoso,Alta,Sì
Piovoso,Media,Sì
Piovoso,Bassa,No
Nuvoloso,Media,Sì
Nuvoloso,Alta,Sì
Piovoso,Bassa,No
Soleggiato,Alta,Sì
Soleggiato,Alta,No
Soleggiato,Alta,Sì
Soleggiato,Media,No
Soleggiato,Bassa,No
Soleggiato,Media,Sì
Soleggiato,Alta,Sì
Soleggiato,Bassa,No
Piovoso,Bassa,No
Nuvoloso,Bassa,No
Soleggiato,Alta,No
Nuvoloso,Media,Sì
Soleggiato,Bassa,Sì
Piovoso,Bassa,Sì
Piovoso,Alta,No
Soleggiato,Alta,No
Nuvoloso,Media,Sì
Piovoso,Bassa,Sì
Piovoso,Media,Sì
Nuvoloso,Media,Sì
Nuvoloso,Alta,No
Soleggiato,Media,No
Piovoso,Bassa,No
Soleggiato,Media,Sì
Piovoso,Bassa,Sì
Nuvoloso,Bassa,No
Nuvoloso,Alta,No
Nuvoloso,Media,No
Soleggiato,Alta,No
Soleggiato,Bassa,Sì
Soleggiato,Media,No
Soleggiato,Media,Sì
Piovoso,Bassa,Sì
Soleggiato,Media,Sì
Soleggiato,Bassa,Sì
Piovoso,Media,No
Piovoso,Alta,Sì
Piovoso,Media,No
Piovoso,Bassa,No
Soleggiato,Media,Sì
Soleggiato,Bassa,Sì
Piovoso,Bassa,No
Nuvoloso,Alta,Sì
Soleggiato,Bassa,Sì
Piovoso,Alta,Sì
Soleggiato,Alta,Sì
Soleggiato,Alta,No
Nuvoloso,Bassa,No
Nuvoloso,Media,No
Nuvoloso,Alta,No
Soleggiato,Media,No
Piovoso,Media,Sì
Soleggiato,Alta,No
Soleggiato,Bassa,No
Piovoso,Bassa,No
Piovoso,Media,No
Piovoso,Bassa,Sì
Piovoso,Media,Sì
Nuvoloso,Bassa,Sì
Nuvoloso,Media,Sì
Soleggiato,Media,No
Nuvoloso,Alta,No
Soleggiato,Bassa,Sì
Soleggiato,Media,No
Piovoso,Alta,Sì
Nuvoloso,Alta,Sì
Soleggiato,Media,Sì
Soleggiato,Media,Sì
Nuvoloso,Bassa,No
Soleggiato,Bassa,Sì
Piovoso,Alta,No
Nuvoloso,Bassa,No
Nuvoloso,Alta,Sì
Nuvoloso,Bassa,No
Piovoso,Bassa,No
Soleggiato,Media,Sì
Nuvoloso,Bassa,Sì
Nuvoloso,Media,Sì
Soleggiato,Media,Sì
Piovoso,Bassa,Sì
Piovoso,Media,No
Nuvoloso,Media,No
Piovoso,Media,Sì
Piovoso,Bassa,Sì
Piovoso,Media,No
Piovoso,Alta,Sì
Nuvoloso,Bassa,Sì
Nuvoloso,Bassa,Sì
Nuvoloso,Alta,No
Piovoso,Alta,Sì
Soleggiato,Alta,No
Piovoso,Media,No
Piovoso,Media,Sì
Soleggiato,Bassa,No
Piovoso,Media,Sì
Soleggiato,Media,No
Soleggiato,Media,No
Piovoso,Bassa,No
Soleggiato,Media,Sì
Piovoso,Bassa,No
Piovoso,Media,Sì
Nuvoloso,Alta,Sì
Soleggiato,Media,Sì
Soleggiato,Media,No
Nuvoloso,Media,No
Piovoso,Alta,Sì
Nuvoloso,Alta,No
Soleggiato,Bassa,Sì
Nuvoloso,Alta,No
Nuvoloso,Bassa,Sì
Piovoso,Alta,No
Soleggiato,Media,Sì
Piovoso,Media,No
Nuvoloso,Media,Sì
Piovoso,Media,Sì
Soleggiato,Alta,Sì
Nuvoloso,Alta,No
Piovoso,Media,No
Soleggiato,Media,Sì
Piovoso,Bassa,No
Nuvoloso,Bassa,No
Soleggiato,Bassa,No
Soleggiato,Bassa,No
Piovoso,Media,Sì
Soleggiato,Alta,Sì
Nuvoloso,Bassa,No
Soleggiato,Media,No
Nuvoloso,Media,No
Soleggiato,Alta,Sì
Piovoso,Media,Sì
Piovoso,Media,No
Piovoso,Bassa,No
Piovoso,Media,No
Soleggiato,Media,No
Piovoso,Bassa,No
Soleggiato,Alta,Sì
Soleggiato,Media,Sì
Soleggiato,Alta,No
Nuvoloso,Bassa,No
Piovoso,Bassa,Sì
Nuvoloso,Alta,Sì
Nuvoloso,Bassa,No
Soleggiato,Alta,Sì
Piovoso,Bassa,Sì
Nuvoloso,Bassa,No
Nuvoloso,Bassa,No
Soleggiato,Alta,No
Piovoso,Bassa,Sì
Nuvoloso,Bassa,No
Soleggiato,Media,Sì
Soleggiato,Bassa,Sì
Nuvoloso,Alta,No
Nuvoloso,Bassa,No
Soleggiato,Alta,No
Piovoso,Bassa,No
Soleggiato,Media,No
Nuvoloso,Alta,Sì
Piovoso,Alta,Sì
Nuvoloso,Alta,Sì
Nuvoloso,Media,Sì
Soleggiato,Media,No
Soleggiato,Media,Sì
Piovoso,Alta,No
Nuvoloso,Alta,No
Piovoso,Bassa,No
Soleggiato,Alta,No
Soleggiato,Bassa,No
Soleggiato,Bassa,Sì
Nuvoloso,Media,Sì
Soleggiato,Media,No
Piovoso,Bassa,Sì
Nuvoloso,Alta,Sì
Piovoso,Alta,No
Soleggiato,Alta,Sì
Piovoso,Bassa,No
Piovoso,Alta,No
Piovoso,Media,No
Piovoso,Bassa,Sì
Piovoso,Bassa,Sì
Nuvoloso,Media,No
Soleggiato,Alta,Sì
Soleggiato,Bassa,No
Piovoso,Media,No
Nuvoloso,Alta,No
Piovoso,Alta,Sì
Nuvoloso,Bassa,Sì
Soleggiato,Media,No
Soleggiato,Bassa,Sì
Nuvoloso,Bassa,Sì
Nuvoloso,Media,No
Soleggiato,Media,No
Nuvoloso,Media,No
Soleggiato,Media,No
Nuvoloso,Media,Sì
Soleggiato,Bassa,No
Piovoso,Media,No
Soleggiato,Bassa,Sì
Nuvoloso,Media,No
Soleggiato,Media,No
Soleggiato,Media,No
Soleggiato,Media,No
Nuvoloso,Bassa,No
Nuvoloso,Alta,Sì
Soleggiato,Media,Sì
Nuvoloso,Alta,No
Piovoso,Media,No
Piovoso,Media,No
Soleggiato,Media,No
Nuvoloso,Bassa,No
Soleggiato,Media,No
Soleggiato,Bassa,No
Piovoso,Media,No
Soleggiato,Media,No
Nuvoloso,Alta,No
Nuvoloso,Alta,No
Piovoso,Media,Sì
Nuvoloso,Media,Sì
Soleggiato,Alta,Sì
Soleggiato,Alta,No
Nuvoloso,Alta,Sì
Soleggiato,Bassa,Sì
Soleggiato,Media,No
Soleggiato,Media,Sì
Soleggiato,Alta,No
Soleggiato,Media,Sì
Soleggiato,Alta,Sì
Nuvoloso,Alta,No
Nuvoloso,Media,Sì
Piovoso,Alta,Sì
Soleggiato,Alta,No
Soleggiato,Alta,No
Soleggiato,Alta,Sì
Nuvoloso,Alta,No
Piovoso,Media,Sì
Soleggiato,Bassa,Sì
Piovoso,Media,No
Soleggiato,Media,No
Nuvoloso,Alta,No
Piovoso,Bassa,No
Piovoso,Media,No
Piovoso,Alta,No
Piovoso,Media,Sì
Soleggiato,Alta,No
Piovoso,Media,Sì
Soleggiato,Media,Sì
Piovoso,Bassa,Sì
Nuvoloso,Media,Sì
Piovoso,Bassa,No
Nuvoloso,Bassa,No
Nuvoloso,Alta,No
Nuvoloso,Alta,Sì
Piovoso,Media,Sì
Soleggiato,Media,Sì
Soleggiato,Media,Sì
Soleggiato,Bassa,No
Soleggiato,Bassa,No
Piovoso,Media,No
Soleggiato,Media,Sì
Piovoso,Bassa,No
Soleggiato,Bassa,No
Soleggiato,Bassa,No
