Meteo,Umidità,Vento,Gioca
Soleggiato,Bassa,Debole,Sì
Piovoso,Media,Forte,No
Piovoso,Media,Debole,No
Piovoso,Alta,Forte,No
Piovoso,Alta,Debole,Sì
Piovoso,Alta,Assente,Sì
Piovoso,Alta,Assente,Sì
Nuvoloso,Bassa,Forte,No
Piovoso,Alta,Forte,No
Piovoso,Alta,Forte,No
Soleggiato,Bassa,Assente,Sì
Nuvoloso,Alta,Forte,No
Nuvoloso,Media,Assente,No
Soleggiato,Bassa,Debole,Sì
Soleggiato,Bassa,Debole,Sì
Nuvoloso,Media,Assente,Sì
Nuvoloso,Alta,Debole,Sì
Piovoso,Bassa,Forte,No
Piovoso,Media,Debole,Sì
Soleggiato,Media,Assente,Sì
Piovoso,Bassa,Forte,No
Soleggiato,Media,Debole,Sì
Soleggiato,Alta,Assente,Sì
Soleggiato,Media,Assente,Sì
Soleggiato,Alta,Forte,Sì
Piovoso,Alta,Forte,No
Soleggiato,Bassa,Debole,Sì
Soleggiato,Alta,Forte,No
Piovoso,Alta,Forte,No
Soleggiato,Bassa,Assente,Sì
Piovoso,Media,Forte,No
Soleggiato,Media,Assente,Sì
Soleggiato,Alta,Debole,Sì
Nuvoloso,Alta,Forte,No
Piovoso,Bassa,Forte,No
Nuvoloso,Alta,Forte,No
Nuvoloso,Alta,Debole,Sì
Soleggiato,Media,Assente,Sì
Piovoso,Alta,Assente,No
Nuvoloso,Media,Assente,Sì
Nuvoloso,Bassa,Debole,Sì
Nuvoloso,Bassa,Assente,Sì
Soleggiato,Media,Assente,Sì
Nuvoloso,Media,Forte,No
Soleggiato,Media,Assente,Sì
Soleggiato,Media,Forte,No
Soleggiato,Bassa,Debole,Sì
Nuvoloso,Media,Forte,No
Nuvoloso,Media,Forte,No
Nuvoloso,Bassa,Debole,Sì
Piovoso,Media,Forte,No
Piovoso,Media,Forte,No
Nuvoloso,Media,Forte,No
Soleggiato,Media,Debole,No
Nuvoloso,Media,Debole,No
Piovoso,Media,Forte,No
Soleggiato,Media,Assente,Sì
Piovoso,Bassa,Assente,Sì
Nuvoloso,Bassa,Debole,Sì
Soleggiato,Bassa,Assente,Sì
Piovoso,Media,Assente,Sì
Piovoso,Alta,Forte,Sì
Piovoso,Alta,Forte,No
Nuvoloso,Alta,Assente,Sì
Soleggiato,Bassa,Assente,Sì
Piovoso,Bassa,Forte,No
Nuvoloso,Alta,Debole,Sì
Soleggiato,Alta,Forte,No
Soleggiato,Bassa,Assente,Sì
Piovoso,Alta,Forte,No
Piovoso,Alta,Debole,No
Nuvoloso,Bassa,Assente,Sì
Soleggiato,Bassa,Assente,Sì
Nuvoloso,Bassa,Debole,No
Piovoso,Bassa,Forte,No
Piovoso,Alta,Debole,No
Piovoso,Alta,Forte,No
Soleggiato,Media,Assente,Sì
Nuvoloso,Media,Debole,Sì
Soleggiato,Bassa,Assente,Sì
Piovoso,Media,Forte,No
Piovoso,Media,Forte,No
Soleggiato,Alta,Forte,Sì
Nuvoloso,Bassa,Assente,Sì
Soleggiato,Alta,Assente,Sì
Soleggiato,Media,Assente,Sì
Soleggiato,Alta,Debole,No
Piovoso,Alta,Forte,No
Soleggiato,Alta,Forte,No
Soleggiato,Bassa,Assente,Sì
Nuvoloso,Bassa,Debole,Sì
Soleggiato,Alta,Debole,No
Nuvoloso,Bassa,Debole,No
Piovoso,Media,Forte,No
Piovoso,Alta,Forte,No
Soleggiato,Alta,Assente,Sì
Soleggiato,Alta,Forte,No
Soleggiato,Bassa,Assente,Sì
Nuvoloso,Media,Assente,Sì
Soleggiato,Bassa,Debole,Sì
Soleggiato,Bassa,Assente,Sì
Piovoso,Media,Forte,No
Nuvoloso,Bassa,Assente,Sì
Piovoso,Alta,Forte,No
Piovoso,Media,Forte,No
Nuvoloso,Bassa,Debole,Sì
Soleggiato,Alta,Assente,Sì
Nuvoloso,Media,Debole,No
Piovoso,Media,Assente,Sì
Nuvoloso,Bassa,Assente,Sì
Soleggiato,Bassa,Assente,Sì
Piovoso,Bassa,Assente,Sì
Nuvoloso,Media,Assente,No
Soleggiato,Alta,Forte,No
Piovoso,Media,Forte,No
Piovoso,Alta,Forte,No
Piovoso,Alta,Forte,No
Soleggiato,Media,Debole,Sì
Piovoso,Media,Forte,No
Piovoso,Alta,Forte,No
Piovoso,Alta,Forte,No
Piovoso,Media,Debole,No
Nuvoloso,Bassa,Assente,Sì
