,Meteo,Vento,Gioca
0,Nuvoloso,Debole,No
1,Soleggiato,Assente,Sì
2,Nuvoloso,Assente,No
3,Soleggiato,Assente,Sì
4,Soleggiato,Debole,No
5,Nuvoloso,Assente,No
6,Soleggiato,Debole,Sì
7,Nuvoloso,Forte,Sì
8,Nuvoloso,Debole,No
9,Nuvoloso,Forte,No
10,Nuvoloso,Assente,Sì
11,Soleggiato,Forte,Sì
12,Nuvoloso,Assente,No
13,Piovoso,Forte,No
14,Nuvoloso,Assente,Sì
15,Soleggiato,Forte,No
16,Soleggiato,Assente,Sì
17,Soleggiato,Assente,No
18,Nuvoloso,Assente,No
19,Soleggiato,Debole,Sì
20,Piovoso,Forte,No
21,Nuvoloso,Assente,No
22,Soleggiato,Assente,Sì
23,Piovoso,Assente,No
24,Nuvoloso,Forte,No
25,Soleggiato,Forte,Sì
26,Nuvoloso,Debole,No
27,Nuvoloso,Assente,Sì
28,Soleggiato,Debole,Sì
29,Nuvoloso,Forte,No
30,Nuvoloso,Debole,Sì
31,Nuvoloso,Assente,Sì
32,Nuvoloso,Assente,No
33,Soleggiato,Forte,Sì
34,Soleggiato,Debole,Sì
35,Piovoso,Assente,Sì
36,Soleggiato,Debole,Sì
37,Soleggiato,Assente,Sì
38,Soleggiato,Forte,Sì
39,Piovoso,Assente,No
40,Soleggiato,Assente,Sì
41,Soleggiato,Assente,No
42,Nuvoloso,Debole,Sì
43,Piovoso,Forte,No
44,Nuvoloso,Assente,Sì
45,Soleggiato,Assente,Sì
46,Nuvoloso,Assente,Sì
47,Nuvoloso,Debole,Sì
48,Piovoso,Debole,Sì
49,Nuvoloso,Debole,Sì
50,Piovoso,Assente,No
51,Nuvoloso,Forte,Sì
52,Soleggiato,Forte,Sì
53,Soleggiato,Assente,Sì
54,Nuvoloso,Forte,No
55,Nuvoloso,Debole,No
56,Piovoso,Debole,No
57,Soleggiato,Assente,Sì
58,Piovoso,Assente,No
59,Nuvoloso,Assente,Sì
60,Soleggiato,Assente,Sì
61,Soleggiato,Assente,Sì
62,Nuvoloso,Debole,No
63,Soleggiato,Forte,No
64,Nuvoloso,Forte,No
65,Piovoso,Forte,Sì
66,Nuvoloso,Forte,No
67,Nuvoloso,Debole,No
68,Piovoso,Assente,No
69,Nuvoloso,Assente,No
70,Nuvoloso,Forte,No
71,Nuvoloso,Forte,No
72,Soleggiato,Assente,Sì
73,Soleggiato,Debole,Sì
74,Nuvoloso,Assente,Sì
75,Soleggiato,Assente,No
76,Piovoso,Assente,No
77,Nuvoloso,Forte,Sì
78,Piovoso,Assente,No
79,Nuvoloso,Debole,No
80,Soleggiato,Debole,Sì
81,Nuvoloso,Assente,No
82,Nuvoloso,Forte,No
83,Soleggiato,Forte,Sì
84,Soleggiato,Forte,No
85,Nuvoloso,Forte,No
86,Nuvoloso,Assente,Sì
87,Piovoso,Assente,No
88,Piovoso,Debole,No
89,Nuvoloso,Assente,No
90,Nuvoloso,Assente,Sì
91,Soleggiato,Forte,No
92,Piovoso,Debole,No
93,Nuvoloso,Debole,No
94,Soleggiato,Assente,No
95,Nuvoloso,Assente,Sì
96,Piovoso,Assente,No
97,Soleggiato,Forte,No
98,Piovoso,Assente,No
99,Soleggiato,Assente,Sì
100,Piovoso,Debole,No
101,Nuvoloso,Debole,No
102,Soleggiato,Assente,No
103,Nuvoloso,Assente,No
104,Nuvoloso,Assente,No
105,Soleggiato,Assente,Sì
106,Nuvoloso,Assente,No
107,Soleggiato,Debole,Sì
108,Nuvoloso,Assente,No
109,Nuvoloso,Debole,Sì
110,Piovoso,Debole,No
111,Soleggiato,Debole,Sì
112,Piovoso,Assente,No
113,Soleggiato,Assente,Sì
114,Soleggiato,Assente,No
115,Nuvoloso,Assente,Sì
116,Piovoso,Assente,Sì
117,Nuvoloso,Assente,No
118,Piovoso,Assente,No
119,Soleggiato,Debole,Sì
120,Piovoso,Debole,No
121,Piovoso,Assente,Sì
122,Soleggiato,Debole,Sì
123,Soleggiato,Assente,Sì
124,Piovoso,Debole,No
125,Nuvoloso,Assente,No
126,Piovoso,Assente,No
127,Nuvoloso,Assente,No
128,Piovoso,Debole,Sì
129,Soleggiato,Assente,Sì
130,Piovoso,Debole,No
131,Soleggiato,Debole,Sì
132,Soleggiato,Assente,Sì
133,Nuvoloso,Assente,No
134,Nuvoloso,Assente,Sì
135,Soleggiato,Assente,Sì
136,Piovoso,Assente,No
137,Soleggiato,Assente,No
138,Soleggiato,Debole,Sì
139,Soleggiato,Debole,No
140,Soleggiato,Debole,No
141,Nuvoloso,Assente,Sì
142,Soleggiato,Assente,No
143,Piovoso,Assente,Sì
144,Nuvoloso,Assente,No
145,Soleggiato,Assente,Sì
146,Nuvoloso,Assente,No
147,Piovoso,Forte,No
148,Soleggiato,Forte,Sì
149,Soleggiato,Forte,Sì
150,Piovoso,Debole,No
151,Nuvoloso,Debole,No
152,Soleggiato,Debole,Sì
153,Nuvoloso,Assente,No
154,Nuvoloso,Debole,Sì
155,Soleggiato,Forte,No
156,Soleggiato,Debole,Sì
157,Piovoso,Debole,Sì
158,Piovoso,Debole,Sì
159,Piovoso,Assente,No
160,Soleggiato,Debole,Sì
161,Nuvoloso,Forte,No
162,Piovoso,Assente,Sì
163,Soleggiato,Assente,Sì
164,Nuvoloso,Assente,No
165,Piovoso,Assente,Sì
166,Nuvoloso,Assente,No
167,Nuvoloso,Assente,No
168,Nuvoloso,Assente,Sì
169,Soleggiato,Assente,No
170,Soleggiato,Assente,Sì
171,Piovoso,Assente,No
172,Nuvoloso,Forte,Sì
173,Soleggiato,Forte,Sì
174,Nuvoloso,Assente,Sì
175,Nuvoloso,Debole,Sì
176,Nuvoloso,Assente,No
177,Nuvoloso,Debole,Sì
178,Nuvoloso,Forte,No
179,Nuvoloso,Assente,Sì
180,Soleggiato,Assente,No
181,Nuvoloso,Assente,No
182,Piovoso,Assente,No
183,Nuvoloso,Debole,No
184,Nuvoloso,Debole,Sì
185,Soleggiato,Assente,Sì
186,Soleggiato,Assente,Sì
187,Nuvoloso,Forte,No
188,Soleggiato,Assente,Sì
189,Soleggiato,Forte,Sì
190,Piovoso,Assente,Sì
191,Nuvoloso,Debole,Sì
192,Nuvoloso,Debole,Sì
193,Soleggiato,Forte,No
194,Nuvoloso,Forte,No
195,Nuvoloso,Forte,Sì
196,Nuvoloso,Assente,No
197,Piovoso,Assente,No
198,Nuvoloso,Forte,Sì
199,Piovoso,Assente,No
200,Soleggiato,Assente,Sì
201,Soleggiato,Assente,Sì
202,Soleggiato,Forte,Sì
203,Nuvoloso,Assente,No
204,Nuvoloso,Debole,No
205,Piovoso,Assente,Sì
206,Nuvoloso,Assente,Sì
207,Piovoso,Assente,No
208,Nuvoloso,Assente,Sì
209,Nuvoloso,Assente,No
210,Nuvoloso,Assente,No
211,Piovoso,Assente,No
212,Soleggiato,Assente,Sì
213,Nuvoloso,Debole,No
214,Piovoso,Assente,Sì
215,Piovoso,Assente,Sì
216,Nuvoloso,Assente,No
217,Soleggiato,Debole,No
218,Piovoso,Assente,Sì
219,Nuvoloso,Debole,Sì
220,Nuvoloso,Assente,No
221,Soleggiato,Assente,Sì
222,Nuvoloso,Forte,Sì
223,Piovoso,Assente,Sì
224,Soleggiato,Debole,Sì
225,Piovoso,Forte,No
226,Nuvoloso,Forte,Sì
227,Nuvoloso,Assente,No
228,Piovoso,Debole,No
229,Piovoso,Assente,No
230,Nuvoloso,Assente,No
231,Piovoso,Assente,No
232,Piovoso,Assente,Sì
233,Nuvoloso,Assente,Sì
234,Soleggiato,Assente,Sì
235,Nuvoloso,Assente,No
236,Soleggiato,Debole,Sì
237,Nuvoloso,Forte,No
238,Soleggiato,Assente,Sì
239,Nuvoloso,Debole,No
240,Piovoso,Assente,No
241,Soleggiato,Debole,No
242,Soleggiato,Assente,No
243,Piovoso,Debole,No
244,Piovoso,Debole,No
245,Nuvoloso,Assente,No
246,Soleggiato,Debole,No
247,Nuvoloso,Assente,Sì
248,Soleggiato,Assente,Sì
249,Nuvoloso,Debole,Sì
250,Soleggiato,Debole,Sì
251,Soleggiato,Assente,Sì
252,Soleggiato,Assente,Sì
253,Piovoso,Assente,No
254,Nuvoloso,Debole,No
255,Soleggiato,Assente,Sì
256,Nuvoloso,Assente,No
257,Soleggiato,Assente,Sì
258,Nuvoloso,Forte,No
259,Nuvoloso,Debole,Sì
260,Piovoso,Forte,No
261,Soleggiato,Assente,Sì
262,Piovoso,Assente,No
263,Soleggiato,Assente,Sì
264,Soleggiato,Assente,Sì
265,Soleggiato,Assente,Sì
266,Nuvoloso,Debole,No
267,Nuvoloso,Forte,No
268,Soleggiato,Forte,No
269,Soleggiato,Debole,Sì
270,Nuvoloso,Debole,Sì
271,Soleggiato,Debole,Sì
272,Soleggiato,Assente,Sì
273,Piovoso,Assente,No
274,Nuvoloso,Assente,No
275,Soleggiato,Debole,Sì
276,Nuvoloso,Assente,Sì
277,Soleggiato,Forte,No
278,Nuvoloso,Assente,Sì
279,Nuvoloso,Forte,Sì
280,Soleggiato,Assente,No
281,Soleggiato,Forte,Sì
282,Nuvoloso,Assente,No
283,Soleggiato,Debole,Sì
284,Piovoso,Debole,No
285,Soleggiato,Forte,Sì
286,Nuvoloso,Assente,No
287,Nuvoloso,Assente,Sì
288,Piovoso,Assente,No
289,Piovoso,Debole,No
290,Nuvoloso,Debole,No
291,Nuvoloso,Assente,Sì
292,Piovoso,Assente,No
293,Nuvoloso,Forte,No
294,Nuvoloso,Assente,No
295,Piovoso,Assente,No
296,Soleggiato,Assente,No
297,Nuvoloso,Forte,No
298,Piovoso,Assente,No
299,Soleggiato,Assente,No
300,Nuvoloso,Forte,No
301,Soleggiato,Debole,Sì
302,Nuvoloso,Debole,Sì
303,Nuvoloso,Debole,No
304,Soleggiato,Debole,Sì
305,Soleggiato,Assente,No
306,Nuvoloso,Forte,No
307,Piovoso,Assente,No
308,Soleggiato,Debole,No
309,Nuvoloso,Assente,Sì
310,Piovoso,Assente,No
311,Soleggiato,Forte,No
312,Nuvoloso,Assente,No
313,Nuvoloso,Assente,Sì
314,Nuvoloso,Forte,No
315,Soleggiato,Debole,Sì
316,Nuvoloso,Assente,No
317,Nuvoloso,Forte,Sì
318,Nuvoloso,Forte,No
319,Piovoso,Assente,Sì
320,Nuvoloso,Assente,No
321,Piovoso,Assente,Sì
322,Nuvoloso,Debole,No
323,Soleggiato,Assente,No
324,Soleggiato,Debole,No
325,Piovoso,Assente,No
326,Nuvoloso,Assente,No
327,Piovoso,Forte,No
328,Soleggiato,Debole,Sì
329,Piovoso,Forte,No
330,Nuvoloso,Assente,No
331,Piovoso,Assente,No
332,Nuvoloso,Forte,Sì
333,Soleggiato,Debole,Sì
334,Piovoso,Debole,No
335,Soleggiato,Assente,Sì
336,Nuvoloso,Debole,No
337,Soleggiato,Assente,Sì
338,Nuvoloso,Forte,No
339,Nuvoloso,Debole,No
340,Soleggiato,Assente,Sì
341,Soleggiato,Assente,Sì
342,Nuvoloso,Assente,Sì
343,Nuvoloso,Assente,Sì
344,Nuvoloso,Assente,No
345,Nuvoloso,Assente,No
346,Piovoso,Assente,Sì
347,Soleggiato,Forte,No
348,Soleggiato,Debole,Sì
349,Soleggiato,Assente,Sì
350,Soleggiato,Assente,No
351,Nuvoloso,Assente,No
352,Soleggiato,Assente,Sì
353,Nuvoloso,Assente,Sì
354,Soleggiato,Debole,No
355,Nuvoloso,Forte,No
356,Soleggiato,Assente,No
357,Soleggiato,Assente,Sì
358,Nuvoloso,Assente,Sì
359,Nuvoloso,Forte,Sì
360,Soleggiato,Debole,Sì
361,Nuvoloso,Debole,Sì
362,Piovoso,Debole,No
363,Soleggiato,Assente,Sì
364,Soleggiato,Assente,Sì
365,Nuvoloso,Assente,Sì
366,Nuvoloso,Assente,No
367,Nuvoloso,Debole,No
368,Soleggiato,Assente,Sì
369,Soleggiato,Assente,No
370,Soleggiato,Assente,Sì
371,Soleggiato,Assente,Sì
372,Soleggiato,Assente,Sì
373,Soleggiato,Debole,Sì
374,Piovoso,Debole,No
375,Piovoso,Debole,No
376,Soleggiato,Debole,No
377,Soleggiato,Forte,No
378,Nuvoloso,Debole,Sì
379,Soleggiato,Debole,Sì
380,Soleggiato,Assente,Sì
381,Soleggiato,Debole,Sì
382,Soleggiato,Debole,No
383,Soleggiato,Debole,No
384,Nuvoloso,Forte,No
385,Piovoso,Assente,No
386,Soleggiato,Assente,Sì
387,Nuvoloso,Assente,Sì
388,Piovoso,Forte,Sì
389,Piovoso,Assente,Sì
390,Nuvoloso,Forte,No
391,Piovoso,Assente,Sì
392,Soleggiato,Debole,Sì
393,Nuvoloso,Assente,No
394,Nuvoloso,Assente,No
395,Piovoso,Debole,No
396,Piovoso,Debole,Sì
397,Piovoso,Assente,No
398,Soleggiato,Debole,Sì
399,Piovoso,Assente,Sì
400,Soleggiato,Assente,Sì
401,Soleggiato,Debole,Sì
402,Piovoso,Assente,No
403,Soleggiato,Debole,Sì
404,Nuvoloso,Assente,No
405,Piovoso,Debole,No
406,Piovoso,Assente,Sì
407,Nuvoloso,Debole,Sì
408,Nuvoloso,Debole,No
409,Nuvoloso,Assente,No
410,Soleggiato,Assente,Sì
411,Soleggiato,Assente,Sì
412,Soleggiato,Assente,Sì
413,Soleggiato,Forte,No
414,Soleggiato,Debole,Sì
415,Piovoso,Assente,No
416,Nuvoloso,Debole,Sì
417,Soleggiato,Debole,Sì
418,Soleggiato,Debole,No
419,Soleggiato,Assente,No
420,Nuvoloso,Debole,Sì
421,Nuvoloso,Assente,Sì
422,Soleggiato,Assente,Sì
423,Nuvoloso,Forte,Sì
424,Nuvoloso,Assente,No
425,Soleggiato,Forte,Sì
426,Nuvoloso,Debole,Sì
427,Piovoso,Assente,No
428,Soleggiato,Debole,Sì
429,Nuvoloso,Assente,Sì
430,Piovoso,Debole,No
431,Nuvoloso,Forte,No
432,Piovoso,Assente,No
433,Piovoso,Debole,No
434,Soleggiato,Forte,Sì
435,Piovoso,Debole,No
436,Piovoso,Forte,No
437,Nuvoloso,Debole,Sì
438,Soleggiato,Debole,Sì
439,Soleggiato,Assente,No
440,Piovoso,Assente,No
441,Piovoso,Assente,Sì
442,Soleggiato,Debole,Sì
443,Soleggiato,Assente,Sì
444,Nuvoloso,Assente,No
445,Soleggiato,Forte,No
446,Soleggiato,Debole,Sì
447,Piovoso,Assente,No
448,Soleggiato,Debole,No
449,Nuvoloso,Forte,No
450,Soleggiato,Forte,Sì
451,Soleggiato,Assente,Sì
452,Nuvoloso,Assente,Sì
453,Nuvoloso,Assente,Sì
454,Soleggiato,Forte,Sì
455,Soleggiato,Forte,No
456,Soleggiato,Assente,Sì
457,Nuvoloso,Assente,No
458,Soleggiato,Debole,No
459,Nuvoloso,Assente,Sì
460,Soleggiato,Assente,Sì
461,Nuvoloso,Assente,No
462,Nuvoloso,Assente,Sì
463,Nuvoloso,Assente,No
464,Piovoso,Debole,No
465,Nuvoloso,Forte,Sì
466,Piovoso,Assente,Sì
467,Nuvoloso,Debole,No
468,Nuvoloso,Assente,No
469,Nuvoloso,Forte,No
470,Nuvoloso,Forte,No
471,Piovoso,Assente,No
472,Soleggiato,Debole,No
473,Nuvoloso,Assente,Sì
474,Nuvoloso,Debole,Sì
475,Soleggiato,Debole,Sì
476,Nuvoloso,Assente,Sì
477,Soleggiato,Assente,No
478,Soleggiato,Debole,Sì
479,Piovoso,Assente,No
480,Nuvoloso,Debole,No
481,Nuvoloso,Assente,No
482,Piovoso,Debole,No
483,Nuvoloso,Debole,No
484,Nuvoloso,Debole,No
485,Soleggiato,Debole,No
486,Nuvoloso,Debole,Sì
487,Soleggiato,Assente,No
488,Soleggiato,Debole,Sì
489,Nuvoloso,Debole,No
490,Soleggiato,Assente,Sì
491,Soleggiato,Debole,Sì
492,Soleggiato,Assente,No
493,Nuvoloso,Debole,No
494,Soleggiato,Assente,Sì
495,Nuvoloso,Forte,No
496,Piovoso,Debole,No
497,Soleggiato,Forte,No
498,Nuvoloso,Debole,No
499,Soleggiato,Assente,Sì
500,Nuvoloso,Debole,No
501,Soleggiato,Debole,Sì
502,Nuvoloso,Debole,No
503,Nuvoloso,Forte,No
504,Piovoso,Debole,No
505,Piovoso,Forte,No
506,Piovoso,Assente,No
507,Nuvoloso,Assente,No
508,Piovoso,Assente,No
509,Nuvoloso,Assente,Sì
510,Piovoso,Forte,No
511,Soleggiato,Assente,Sì
512,Nuvoloso,Assente,No
513,Nuvoloso,Assente,No
514,Nuvoloso,Assente,Sì
515,Soleggiato,Debole,No
516,Soleggiato,Forte,Sì
517,Piovoso,Assente,No
518,Nuvoloso,Assente,Sì
519,Soleggiato,Assente,Sì
520,Soleggiato,Assente,Sì
521,Nuvoloso,Debole,No
522,Soleggiato,Assente,Sì
523,Nuvoloso,Assente,No
524,Soleggiato,Assente,Sì
525,Nuvoloso,Debole,Sì
526,Soleggiato,Forte,No
527,Soleggiato,Assente,Sì
528,Piovoso,Debole,No
529,Nuvoloso,Assente,Sì
530,Nuvoloso,Assente,Sì
531,Piovoso,Debole,No
532,Nuvoloso,Assente,No
533,Nuvoloso,Assente,Sì
534,Piovoso,Assente,No
535,Soleggiato,Assente,Sì
536,Soleggiato,Assente,No
537,Nuvoloso,Forte,No
538,Soleggiato,Assente,No
539,Nuvoloso,Assente,Sì
540,Soleggiato,Assente,No
541,Soleggiato,Forte,Sì
542,Nuvoloso,Forte,No
543,Nuvoloso,Forte,Sì
544,Nuvoloso,Debole,No
545,Soleggiato,Assente,Sì
546,Soleggiato,Assente,Sì
547,Nuvoloso,Forte,No
548,Nuvoloso,Assente,Sì
549,Nuvoloso,Assente,Sì
550,Soleggiato,Assente,No
551,Nuvoloso,Assente,No
552,Soleggiato,Assente,Sì
553,Piovoso,Forte,Sì
554,Nuvoloso,Assente,No
555,Piovoso,Forte,No
556,Nuvoloso,Assente,No
557,Soleggiato,Debole,Sì
558,Soleggiato,Assente,Sì
559,Nuvoloso,Debole,No
560,Nuvoloso,Forte,No
561,Piovoso,Forte,No
562,Soleggiato,Assente,Sì
563,Soleggiato,Assente,Sì
564,Soleggiato,Assente,Sì
565,Soleggiato,Assente,Sì
566,Soleggiato,Debole,Sì
567,Soleggiato,Assente,Sì
568,Soleggiato,Assente,Sì
569,Soleggiato,Debole,Sì
570,Piovoso,Debole,Sì
571,Piovoso,Assente,Sì
572,Nuvoloso,Assente,Sì
573,Nuvoloso,Assente,No
574,Soleggiato,Forte,Sì
575,Nuvoloso,Forte,Sì
576,Soleggiato,Debole,Sì
577,Nuvoloso,Forte,No
578,Piovoso,Assente,No
579,Soleggiato,Debole,Sì
580,Piovoso,Assente,No
581,Soleggiato,Assente,No
582,Nuvoloso,Assente,No
583,Nuvoloso,Debole,No
584,Nuvoloso,Assente,No
585,Piovoso,Debole,No
586,Nuvoloso,Assente,Sì
587,Nuvoloso,Debole,No
588,Soleggiato,Debole,Sì
589,Nuvoloso,Assente,No
590,Soleggiato,Assente,Sì
591,Soleggiato,Assente,Sì
592,Piovoso,Debole,No
593,Soleggiato,Debole,No
594,Soleggiato,Assente,Sì
595,Soleggiato,Assente,Sì
596,Soleggiato,Debole,No
597,Nuvoloso,Assente,Sì
598,Nuvoloso,Forte,No
599,Nuvoloso,Debole,No
600,Soleggiato,Debole,Sì
601,Nuvoloso,Forte,No
602,Soleggiato,Debole,No
603,Soleggiato,Forte,No
604,Soleggiato,Assente,Sì
605,Soleggiato,Assente,No
606,Nuvoloso,Forte,No
607,Piovoso,Forte,No
608,Nuvoloso,Forte,No
609,Piovoso,Debole,No
610,Piovoso,Assente,No
611,Nuvoloso,Forte,No
612,Piovoso,Assente,No
613,Piovoso,Assente,Sì
614,Nuvoloso,Assente,Sì
615,Nuvoloso,Forte,No
616,Piovoso,Assente,No
617,Nuvoloso,Debole,No
618,Soleggiato,Debole,Sì
619,Soleggiato,Assente,Sì
620,Soleggiato,Debole,No
621,Nuvoloso,Assente,No
622,Piovoso,Debole,No
623,Nuvoloso,Assente,Sì
624,Soleggiato,Debole,Sì
625,Nuvoloso,Debole,No
626,Nuvoloso,Assente,No
627,Piovoso,Debole,No
628,Piovoso,Debole,No
629,Nuvoloso,Assente,Sì
630,Soleggiato,Assente,Sì
631,Nuvoloso,Forte,No
632,Nuvoloso,Debole,No
633,Soleggiato,Assente,Sì
634,Nuvoloso,Assente,Sì
635,Soleggiato,Assente,Sì
636,Piovoso,Assente,Sì
637,Piovoso,Assente,No
638,Nuvoloso,Forte,No
639,Piovoso,Assente,No
640,Piovoso,Forte,No
641,Piovoso,Forte,No
642,Nuvoloso,Debole,No
643,Soleggiato,Debole,Sì
644,Piovoso,Debole,No
645,Piovoso,Forte,No
646,Soleggiato,Debole,No
647,Soleggiato,Assente,Sì
648,Soleggiato,Forte,Sì
649,Nuvoloso,Assente,No
650,Soleggiato,Assente,No
651,Nuvoloso,Assente,No
652,Soleggiato,Assente,No
653,Nuvoloso,Assente,No
654,Nuvoloso,Forte,No
655,Nuvoloso,Debole,No
656,Soleggiato,Assente,No
657,Nuvoloso,Debole,Sì
658,Nuvoloso,Debole,Sì
659,Nuvoloso,Debole,No
660,Soleggiato,Assente,Sì
661,Soleggiato,Forte,Sì
662,Soleggiato,Assente,Sì
663,Soleggiato,Forte,Sì
664,Soleggiato,Debole,Sì
665,Soleggiato,Assente,Sì
666,Nuvoloso,Assente,No
667,Nuvoloso,Forte,Sì
668,Nuvoloso,Forte,No
669,Nuvoloso,Forte,No
670,Piovoso,Debole,No
671,Piovoso,Assente,Sì
672,Piovoso,Assente,Sì
673,Nuvoloso,Assente,No
674,Nuvoloso,Assente,No
675,Piovoso,Debole,No
676,Soleggiato,Assente,No
677,Nuvoloso,Assente,No
678,Nuvoloso,Forte,No
679,Nuvoloso,Debole,No
680,Nuvoloso,Assente,No
681,Piovoso,Assente,Sì
682,Soleggiato,Debole,Sì
683,Soleggiato,Assente,Sì
684,Piovoso,Assente,No
685,Soleggiato,Assente,No
686,Nuvoloso,Forte,No
687,Soleggiato,Assente,Sì
688,Nuvoloso,Forte,Sì
689,Piovoso,Debole,No
690,Soleggiato,Forte,No
691,Nuvoloso,Assente,No
692,Nuvoloso,Forte,No
693,Piovoso,Assente,No
694,Soleggiato,Assente,Sì
695,Soleggiato,Assente,Sì
696,Nuvoloso,Assente,No
697,Soleggiato,Forte,Sì
698,Nuvoloso,Forte,Sì
699,Nuvoloso,Assente,Sì
700,Piovoso,Assente,Sì
701,Soleggiato,Assente,No
702,Nuvoloso,Assente,No
703,Piovoso,Debole,No
704,Soleggiato,Forte,Sì
705,Nuvoloso,Assente,Sì
706,Soleggiato,Forte,Sì
707,Soleggiato,Assente,Sì
708,Nuvoloso,Assente,No
709,Nuvoloso,Assente,No
710,Nuvoloso,Assente,Sì
711,Piovoso,Debole,No
712,Soleggiato,Assente,No
713,Soleggiato,Debole,Sì
714,Soleggiato,Assente,Sì
715,Nuvoloso,Debole,No
716,Soleggiato,Debole,No
717,Nuvoloso,Assente,No
718,Nuvoloso,Forte,No
719,Nuvoloso,Forte,No
720,Nuvoloso,Assente,Sì
721,Nuvoloso,Debole,No
722,Nuvoloso,Assente,No
723,Soleggiato,Assente,Sì
724,Nuvoloso,Assente,Sì
725,Piovoso,Assente,Sì
726,Nuvoloso,Assente,No
727,Piovoso,Debole,No
728,Soleggiato,Assente,Sì
729,Soleggiato,Forte,Sì
730,Nuvoloso,Forte,Sì
731,Nuvoloso,Assente,Sì
732,Soleggiato,Debole,Sì
733,Nuvoloso,Debole,No
734,Nuvoloso,Assente,No
735,Nuvoloso,Assente,No
736,Soleggiato,Debole,Sì
737,Piovoso,Assente,No
738,Soleggiato,Debole,No
739,Nuvoloso,Forte,No
740,Nuvoloso,Assente,Sì
741,Soleggiato,Assente,Sì
742,Soleggiato,Forte,Sì
743,Soleggiato,Forte,No
744,Soleggiato,Debole,Sì
745,Nuvoloso,Assente,No
746,Soleggiato,Debole,No
747,Soleggiato,Debole,Sì
748,Nuvoloso,Debole,Sì
749,Piovoso,Assente,No
750,Piovoso,Assente,Sì
751,Nuvoloso,Assente,Sì
752,Soleggiato,Assente,Sì
753,Nuvoloso,Assente,No
754,Nuvoloso,Debole,No
755,Soleggiato,Assente,No
756,Nuvoloso,Debole,No
757,Nuvoloso,Assente,Sì
758,Soleggiato,Assente,Sì
759,Soleggiato,Debole,Sì
760,Nuvoloso,Forte,No
761,Soleggiato,Forte,No
