,Meteo,Vento,Gioca
0,Soleggiato,Debole,Sì
1,Nuvoloso,Debole,No
2,Piovoso,Assente,No
3,Soleggiato,Assente,Sì
4,Nuvoloso,Forte,Sì
5,Soleggiato,Assente,Sì
6,Nuvoloso,Assente,No
7,Soleggiato,Debole,No
8,Piovoso,Forte,No
9,Nuvoloso,Assente,No
10,Soleggiato,Assente,Sì
11,Nuvoloso,Assente,No
12,Nuvoloso,Debole,Sì
13,Piovoso,Forte,No
14,Nuvoloso,Assente,No
15,Soleggiato,Assente,No
16,Nuvoloso,Assente,Sì
17,Nuvoloso,Assente,Sì
18,Soleggiato,Assente,Sì
19,Nuvoloso,Debole,Sì
20,Nuvoloso,Debole,No
21,Nuvoloso,Forte,Sì
22,Soleggiato,Assente,Sì
23,Piovoso,Forte,No
24,Soleggiato,Assente,Sì
25,Soleggiato,Assente,No
26,Nuvoloso,Assente,Sì
27,Soleggiato,Forte,No
28,Nuvoloso,Debole,Sì
29,Nuvoloso,Assente,No
30,Piovoso,Assente,Sì
31,Nuvoloso,Assente,No
32,Nuvoloso,Assente,Sì
33,Nuvoloso,Assente,Sì
34,Piovoso,Assente,Sì
35,Nuvoloso,Debole,Sì
36,Soleggiato,Assente,No
37,Soleggiato,Forte,No
38,Nuvoloso,Debole,No
39,Nuvoloso,Assente,Sì
40,Soleggiato,Assente,Sì
41,Soleggiato,Assente,Sì
42,Soleggiato,Assente,No
43,Soleggiato,Assente,Sì
44,Nuvoloso,Assente,Sì
45,Soleggiato,Assente,Sì
46,Soleggiato,Debole,No
47,Soleggiato,Assente,Sì
48,Nuvoloso,Assente,Sì
49,Nuvoloso,Debole,Sì
50,Soleggiato,Assente,Sì
51,Nuvoloso,Debole,No
52,Piovoso,Forte,No
53,Piovoso,Assente,No
54,Piovoso,Assente,No
55,Piovoso,Forte,Sì
56,Soleggiato,Assente,Sì
57,Soleggiato,Assente,Sì
58,Piovoso,Forte,No
59,Piovoso,Forte,No
60,Nuvoloso,Debole,Sì
61,Nuvoloso,Debole,No
62,Nuvoloso,Assente,No
63,Soleggiato,Assente,Sì
64,Piovoso,Forte,No
65,Nuvoloso,Forte,Sì
66,Nuvoloso,Debole,Sì
67,Piovoso,Forte,No
68,Soleggiato,Assente,Sì
69,Soleggiato,Debole,Sì
70,Piovoso,Debole,Sì
71,Soleggiato,Assente,Sì
72,Piovoso,Assente,Sì
73,Soleggiato,Assente,Sì
74,Nuvoloso,Debole,No
75,Soleggiato,Assente,Sì
76,Soleggiato,Assente,Sì
77,Nuvoloso,Forte,No
78,Nuvoloso,Debole,No
79,Nuvoloso,Forte,No
80,Soleggiato,Assente,No
81,Soleggiato,Assente,Sì
82,Soleggiato,Assente,Sì
83,Soleggiato,Assente,Sì
84,Nuvoloso,Debole,No
85,Nuvoloso,Forte,No
86,Piovoso,Assente,No
87,Nuvoloso,Forte,Sì
88,Piovoso,Forte,No
89,Piovoso,Forte,No
90,Soleggiato,Assente,Sì
91,Soleggiato,Assente,Sì
92,Nuvoloso,Assente,No
93,Piovoso,Assente,No
94,Soleggiato,Debole,Sì
95,Nuvoloso,Assente,No
96,Nuvoloso,Assente,Sì
97,Soleggiato,Assente,No
98,Nuvoloso,Debole,No
99,Piovoso,Debole,No
100,Nuvoloso,Assente,Sì
101,Nuvoloso,Assente,No
102,Nuvoloso,Debole,No
103,Soleggiato,Assente,Sì
104,Soleggiato,Assente,Sì
105,Nuvoloso,Debole,Sì
106,Soleggiato,Assente,Sì
107,Piovoso,Assente,No
108,Nuvoloso,Debole,No
109,Nuvoloso,Assente,No
110,Piovoso,Assente,No
111,Piovoso,Assente,No
112,Soleggiato,Assente,No
113,Nuvoloso,Assente,Sì
114,Piovoso,Assente,Sì
115,Nuvoloso,Forte,Sì
116,Nuvoloso,Assente,No
117,Soleggiato,Assente,No
118,Nuvoloso,Assente,No
119,Nuvoloso,Debole,Sì
120,Piovoso,Debole,Sì
121,Nuvoloso,Assente,No
122,Nuvoloso,Assente,No
123,Soleggiato,Assente,Sì
124,Piovoso,Assente,No
125,Nuvoloso,Assente,No
126,Soleggiato,Debole,No
127,Piovoso,Debole,No
128,Soleggiato,Debole,Sì
129,Nuvoloso,Debole,No
130,Nuvoloso,Debole,Sì
131,Nuvoloso,Debole,Sì
132,Piovoso,Assente,No
133,Soleggiato,Assente,Sì
134,Nuvoloso,Debole,No
135,Nuvoloso,Assente,Sì
136,Soleggiato,Assente,Sì
137,Soleggiato,Assente,No
138,Nuvoloso,Debole,No
139,Nuvoloso,Debole,Sì
140,Nuvoloso,Forte,Sì
141,Piovoso,Forte,No
142,Soleggiato,Assente,Sì
143,Soleggiato,Assente,No
144,Nuvoloso,Assente,No
145,Piovoso,Forte,Sì
146,Piovoso,Debole,No
147,Nuvoloso,Debole,No
148,Piovoso,Forte,Sì
149,Nuvoloso,Debole,No
150,Soleggiato,Assente,Sì
151,Nuvoloso,Assente,Sì
152,Nuvoloso,Debole,Sì
153,Nuvoloso,Debole,No
154,Nuvoloso,Debole,No
155,Soleggiato,Assente,No
156,Nuvoloso,Debole,No
157,Nuvoloso,Assente,No
158,Soleggiato,Assente,Sì
159,Nuvoloso,Debole,No
160,Soleggiato,Forte,No
161,Nuvoloso,Assente,No
162,Soleggiato,Assente,No
