n,X,Y
1,x1,y1
2,x1,y1
3,x1,y1
4,x1,y1
5,x1,y1
6,x1,y1
7,x1,y1
8,x1,y1
9,x1,y1
10,x1,y1
11,x1,y1
12,x1,y1
13,x1,y1
14,x1,y1
15,x1,y1
16,x1,y1
17,x1,y1
18,x1,y1
19,x1,y1
20,x1,y1
21,x1,y1
22,x1,y1
23,x1,y1
24,x1,y1
25,x1,y1
26,x1,y1
27,x1,y1
28,x1,y1
29,x1,y1
30,x1,y1
31,x1,y1
32,x1,y1
33,x1,y1
34,x1,y1
35,x1,y1
36,x1,y1
37,x1,y1
38,x1,y1
39,x1,y1
40,x1,y1
41,x1,y1
42,x1,y1
43,x1,y1
44,x1,y1
45,x1,y1
46,x1,y1
47,x1,y1
48,x1,y1
49,x1,y1
50,x1,y1
51,x1,y1
52,x1,y1
53,x1,y1
54,x1,y1
55,x1,y1
56,x1,y1
57,x1,y1
58,x1,y1
59,x1,y1
60,x1,y1
61,x1,y1
62,x1,y1
63,x1,y1
64,x1,y1
65,x1,y1
66,x1,y1
67,x1,y1
68,x1,y1
69,x1,y1
70,x1,y1
71,x1,y1
72,x1,y1
73,x1,y1
74,x1,y1
75,x1,y1
76,x1,y1
77,x1,y1
78,x1,y1
79,x1,y1
80,x1,y1
81,x1,y1
82,x1,y1
83,x1,y1
84,x1,y1
85,x1,y1
86,x1,y1
87,x1,y1
88,x1,y1
89,x1,y1
90,x1,y1
91,x1,y1
92,x1,y1
93,x1,y1
94,x1,y1
95,x1,y1
96,x1,y1
97,x1,y1
98,x1,y1
99,x1,y1
100,x1,y1
101,x1,y1
102,x1,y1
103,x1,y1
104,x1,y1
105,x1,y1
106,x1,y1
107,x1,y1
108,x1,y1
109,x1,y1
110,x1,y1
111,x1,y1
112,x1,y1
113,x1,y1
114,x1,y1
115,x1,y1
116,x1,y1
117,x1,y1
118,x1,y1
119,x1,y1
120,x1,y1
121,x1,y1
122,x1,y1
123,x1,y1
124,x1,y1
125,x1,y1
126,x1,y1
127,x1,y1
128,x1,y1
129,x1,y1
130,x1,y1
131,x1,y1
132,x1,y1
133,x1,y1
134,x1,y1
135,x1,y1
136,x1,y1
137,x1,y1
138,x1,y1
139,x1,y1
140,x1,y1
141,x1,y1
142,x1,y1
143,x1,y1
144,x1,y1
145,x1,y1
146,x1,y1
147,x1,y1
148,x1,y1
149,x1,y1
150,x1,y1
151,x1,y1
152,x1,y1
153,x1,y1
154,x1,y1
155,x1,y1
156,x1,y1
157,x1,y1
158,x1,y1
159,x1,y1
160,x1,y1
161,x1,y1
162,x1,y1
163,x1,y1
164,x1,y1
165,x1,y1
166,x1,y1
167,x1,y1
168,x1,y1
169,x1,y1
170,x1,y1
171,x1,y1
172,x1,y1
173,x1,y1
174,x1,y1
175,x1,y1
176,x1,y1
177,x1,y1
178,x1,y1
179,x1,y1
180,x1,y1
181,x1,y1
182,x1,y1
183,x1,y1
184,x1,y1
185,x1,y1
186,x1,y1
187,x1,y1
188,x1,y1
189,x1,y1
190,x1,y1
191,x1,y1
192,x1,y1
193,x1,y1
194,x1,y1
195,x1,y1
196,x1,y1
197,x1,y1
198,x1,y1
199,x1,y1
200,x1,y1
201,x1,y1
202,x1,y1
203,x1,y1
204,x1,y1
205,x1,y1
206,x1,y1
207,x1,y1
208,x1,y1
209,x1,y1
210,x1,y1
211,x1,y1
212,x1,y1
213,x1,y1
214,x1,y1
215,x1,y1
216,x1,y1
217,x1,y1
218,x1,y1
219,x1,y1
220,x1,y1
221,x1,y1
222,x1,y1
223,x1,y1
224,x1,y1
225,x1,y1
226,x1,y1
227,x1,y1
228,x1,y1
229,x1,y1
230,x1,y1
231,x1,y1
232,x1,y1
233,x1,y1
234,x1,y1
235,x1,y1
236,x1,y1
237,x1,y1
238,x1,y1
239,x1,y1
240,x1,y1
241,x1,y1
242,x1,y1
243,x1,y1
244,x1,y1
245,x1,y1
246,x1,y1
247,x1,y1
248,x1,y1
249,x1,y1
250,x1,y1
251,x1,y1
252,x1,y1
253,x1,y1
254,x1,y1
255,x1,y1
256,x1,y1
257,x1,y1
258,x1,y1
259,x1,y1
260,x1,y1
261,x1,y1
262,x1,y1
263,x1,y1
264,x1,y1
265,x1,y1
266,x1,y1
267,x1,y1
268,x1,y1
269,x1,y1
270,x1,y1
271,x1,y1
272,x1,y1
273,x1,y1
274,x1,y1
275,x1,y1
276,x1,y1
277,x1,y1
278,x1,y1
279,x1,y1
280,x1,y1
281,x1,y1
282,x1,y1
283,x1,y1
284,x1,y1
285,x1,y1
286,x1,y1
287,x1,y1
288,x1,y1
289,x1,y1
290,x1,y1
291,x1,y1
292,x1,y1
293,x1,y1
294,x1,y1
295,x1,y1
296,x1,y1
297,x1,y1
298,x1,y1
299,x1,y1
300,x1,y1
301,x1,y1
302,x1,y1
303,x1,y1
304,x1,y1
305,x1,y1
306,x1,y1
307,x1,y1
308,x1,y1
309,x1,y1
310,x1,y1
311,x1,y1
312,x1,y1
313,x1,y1
314,x1,y1
315,x1,y1
316,x1,y1
317,x1,y1
318,x1,y1
319,x1,y1
320,x1,y1
321,x1,y1
322,x1,y1
323,x1,y1
324,x1,y1
325,x1,y1
326,x1,y1
327,x1,y1
328,x1,y1
329,x1,y1
330,x1,y1
331,x1,y1
332,x1,y1
333,x1,y1
334,x1,y1
335,x1,y1
336,x1,y1
337,x1,y1
338,x1,y1
339,x1,y1
340,x1,y1
341,x1,y1
342,x1,y1
343,x1,y1
344,x1,y1
345,x1,y1
346,x1,y1
347,x1,y1
348,x1,y1
349,x1,y1
350,x1,y1
351,x1,y1
352,x1,y1
353,x1,y1
354,x1,y1
