n,X,Y
1,F,Black
2,F,Black
3,F,Black
4,F,Black
5,F,Black
6,F,Black
7,F,Black
8,F,Black
9,F,Black
10,F,Black
11,F,Black
12,F,Black
13,F,Black
14,F,Black
15,F,Black
16,F,Black
17,F,Black
18,F,Black
19,F,Black
20,F,Black
21,F,Brown
22,F,Brown
23,F,Brown
24,F,Brown
25,F,Brown
26,F,Brown
27,F,Brown
28,F,Brown
29,F,Brown
30,F,Brown
31,F,Brown
32,F,Brown
33,F,Brown
34,F,Brown
35,F,Brown
36,F,Brown
37,F,Brown
38,F,Brown
39,F,Brown
40,F,Brown
41,F,Brown
42,F,Brown
43,F,Brown
44,F,Brown
45,F,Brown
46,F,Brown
47,F,Brown
48,F,Brown
49,F,Brown
50,F,Brown
51,F,Blue
52,F,Blue
53,F,Blue
54,F,Blue
55,F,Blue
56,F,Blue
57,F,Blue
58,F,Blue
59,F,Blue
60,F,Blue
61,F,Green
62,F,Green
63,F,Green
64,F,Green
65,F,Green
66,F,Green
67,F,Green
68,F,Green
69,F,Green
70,F,Green
71,F,Green
72,F,Green
73,F,Green
74,F,Green
75,F,Green
76,F,Gray
77,F,Gray
78,F,Gray
79,F,Gray
80,F,Gray
81,F,Gray
82,F,Gray
83,F,Gray
84,F,Gray
85,F,Gray
86,M,Black
87,M,Black
88,M,Black
89,M,Black
90,M,Black
91,M,Black
92,M,Black
93,M,Black
94,M,Black
95,M,Black
96,M,Black
97,M,Black
98,M,Black
99,M,Black
100,M,Black
101,M,Black
102,M,Black
103,M,Black
104,M,Black
105,M,Black
106,M,Black
107,M,Black
108,M,Black
109,M,Black
110,M,Black
111,M,Brown
112,M,Brown
113,M,Brown
114,M,Brown
115,M,Brown
116,M,Brown
117,M,Brown
118,M,Brown
119,M,Brown
120,M,Brown
121,M,Brown
122,M,Brown
123,M,Brown
124,M,Brown
125,M,Brown
126,M,Blue
127,M,Blue
128,M,Blue
129,M,Blue
130,M,Blue
131,M,Blue
132,M,Blue
133,M,Blue
134,M,Blue
135,M,Blue
136,M,Blue
137,M,Blue
138,M,Green
139,M,Green
140,M,Green
141,M,Green
142,M,Green
143,M,Green
144,M,Green
145,M,Green
146,M,Green
147,M,Green
148,M,Green
149,M,Green
150,M,Green
151,M,Green
152,M,Green
153,M,Green
154,M,Green
155,M,Green
156,M,Green
157,M,Green
158,M,Gray
159,M,Gray
160,M,Gray
161,M,Gray
162,M,Gray
163,M,Gray
164,M,Gray
165,M,Gray
166,M,Gray
167,M,Gray
