n,X,Y
1,None,Sr.Manager
2,None,Sr.Manager
3,None,Sr.Manager
4,None,Sr.Manager
5,None,Jr.manger
6,None,Jr.manger
7,None,Jr.manger
8,None,Jr.manger
9,None,Sr.Empl
10,None,Sr.Empl
11,None,Sr.Empl
12,None,Sr.Empl
13,None,Sr.Empl
14,None,Sr.Empl
15,None,Sr.Empl
16,None,Sr.Empl
17,None,Sr.Empl
18,None,Sr.Empl
19,None,Sr.Empl
20,None,Sr.Empl
21,None,Sr.Empl
22,None,Sr.Empl
23,None,Sr.Empl
24,None,Sr.Empl
25,None,Sr.Empl
26,None,Sr.Empl
27,None,Sr.Empl
28,None,Sr.Empl
29,None,Sr.Empl
30,None,Sr.Empl
31,None,Sr.Empl
32,None,Sr.Empl
33,None,Sr.Empl
34,None,Jr.Empl
35,None,Jr.Empl
36,None,Jr.Empl
37,None,Jr.Empl
38,None,Jr.Empl
39,None,Jr.Empl
40,None,Jr.Empl
41,None,Jr.Empl
42,None,Jr.Empl
43,None,Jr.Empl
44,None,Jr.Empl
45,None,Jr.Empl
46,None,Jr.Empl
47,None,Jr.Empl
48,None,Jr.Empl
49,None,Jr.Empl
50,None,Jr.Empl
51,None,Jr.Empl
52,None,Secretary
53,None,Secretary
54,None,Secretary
55,None,Secretary
56,None,Secretary
57,None,Secretary
58,None,Secretary
59,None,Secretary
60,None,Secretary
61,None,Secretary
62,Light,Sr.Manager
63,Light,Sr.Manager
64,Light,Jr.manger
65,Light,Jr.manger
66,Light,Jr.manger
67,Light,Sr.Empl
68,Light,Sr.Empl
69,Light,Sr.Empl
70,Light,Sr.Empl
71,Light,Sr.Empl
72,Light,Sr.Empl
73,Light,Sr.Empl
74,Light,Sr.Empl
75,Light,Sr.Empl
76,Light,Sr.Empl
77,Light,Jr.Empl
78,Light,Jr.Empl
79,Light,Jr.Empl
80,Light,Jr.Empl
81,Light,Jr.Empl
82,Light,Jr.Empl
83,Light,Jr.Empl
84,Light,Jr.Empl
85,Light,Jr.Empl
86,Light,Jr.Empl
87,Light,Jr.Empl
88,Light,Jr.Empl
89,Light,Jr.Empl
90,Light,Jr.Empl
91,Light,Jr.Empl
92,Light,Jr.Empl
93,Light,Jr.Empl
94,Light,Jr.Empl
95,Light,Jr.Empl
96,Light,Jr.Empl
97,Light,Jr.Empl
98,Light,Jr.Empl
99,Light,Jr.Empl
100,Light,Jr.Empl
101,Light,Secretary
102,Light,Secretary
103,Light,Secretary
104,Light,Secretary
105,Light,Secretary
106,Light,Secretary
107,Medium,Sr.Manager
108,Medium,Sr.Manager
109,Medium,Sr.Manager
110,Medium,Jr.manger
111,Medium,Jr.manger
112,Medium,Jr.manger
113,Medium,Jr.manger
114,Medium,Jr.manger
115,Medium,Jr.manger
116,Medium,Jr.manger
117,Medium,Sr.Empl
118,Medium,Sr.Empl
119,Medium,Sr.Empl
120,Medium,Sr.Empl
121,Medium,Sr.Empl
122,Medium,Sr.Empl
123,Medium,Sr.Empl
124,Medium,Sr.Empl
125,Medium,Sr.Empl
126,Medium,Sr.Empl
127,Medium,Sr.Empl
128,Medium,Sr.Empl
129,Medium,Jr.Empl
130,Medium,Jr.Empl
131,Medium,Jr.Empl
132,Medium,Jr.Empl
133,Medium,Jr.Empl
134,Medium,Jr.Empl
135,Medium,Jr.Empl
136,Medium,Jr.Empl
137,Medium,Jr.Empl
138,Medium,Jr.Empl
139,Medium,Jr.Empl
140,Medium,Jr.Empl
141,Medium,Jr.Empl
142,Medium,Jr.Empl
143,Medium,Jr.Empl
144,Medium,Jr.Empl
145,Medium,Jr.Empl
146,Medium,Jr.Empl
147,Medium,Jr.Empl
148,Medium,Jr.Empl
149,Medium,Jr.Empl
150,Medium,Jr.Empl
151,Medium,Jr.Empl
152,Medium,Jr.Empl
153,Medium,Jr.Empl
154,Medium,Jr.Empl
155,Medium,Jr.Empl
156,Medium,Jr.Empl
157,Medium,Jr.Empl
158,Medium,Jr.Empl
159,Medium,Jr.Empl
160,Medium,Jr.Empl
161,Medium,Jr.Empl
162,Medium,Secretary
163,Medium,Secretary
164,Medium,Secretary
165,Medium,Secretary
166,Medium,Secretary
167,Medium,Secretary
168,Medium,Secretary
169,Heavy,Sr.Manager
170,Heavy,Sr.Manager
171,Heavy,Jr.manger
172,Heavy,Jr.manger
173,Heavy,Jr.manger
174,Heavy,Jr.manger
175,Heavy,Sr.Empl
176,Heavy,Sr.Empl
177,Heavy,Sr.Empl
178,Heavy,Sr.Empl
179,Heavy,Jr.Empl
180,Heavy,Jr.Empl
181,Heavy,Jr.Empl
182,Heavy,Jr.Empl
183,Heavy,Jr.Empl
184,Heavy,Jr.Empl
185,Heavy,Jr.Empl
186,Heavy,Jr.Empl
187,Heavy,Jr.Empl
188,Heavy,Jr.Empl
189,Heavy,Jr.Empl
190,Heavy,Jr.Empl
191,Heavy,Jr.Empl
192,Heavy,Secretary
193,Heavy,Secretary
