"project_id","taskname","costo","ngg_worked","n_employee"
2003,"INTERIOR DESIGNING",4410.0,9.0,3
2009,"INTERIOR DESIGNING",4116.0,8.4,3
2015,"INTERIOR DESIGNING",5145.0,10.5,3
2027,"INTERIOR DESIGNING",6174.0,12.6,3
2051,"INTERIOR DESIGNING",7203.0,14.7,3
2099,"INTERIOR DESIGNING",8232.0,16.8,3
2105,"INTERIOR DESIGNING",8673.0,17.7,3
2195,"INTERIOR DESIGNING",9261.0,18.9,3
2201,"INTERIOR DESIGNING",9702.0,19.8,3
2207,"INTERIOR DESIGNING",10731.0,21.9,3
2387,"INTERIOR DESIGNING",10290.0,21.0,3
2393,"INTERIOR DESIGNING",10731.0,21.9,3
2399,"INTERIOR DESIGNING",11760.0,24.0,3
2411,"INTERIOR DESIGNING",12789.0,26.1,3
2771,"INTERIOR DESIGNING",11319.0,23.1,3
2777,"INTERIOR DESIGNING",11760.0,24.0,3
2783,"INTERIOR DESIGNING",12789.0,26.1,3
2795,"INTERIOR DESIGNING",13818.0,28.2,3
2819,"INTERIOR DESIGNING",14847.0,30.3,3
2867,"INTERIOR DESIGNING",15876.0,32.4,3
3539,"INTERIOR DESIGNING",12348.0,25.2,3
3545,"INTERIOR DESIGNING",12789.0,26.1,3
3551,"INTERIOR DESIGNING",13818.0,28.2,3
3563,"INTERIOR DESIGNING",14847.0,30.3,3
3587,"INTERIOR DESIGNING",15876.0,32.4,3
3635,"INTERIOR DESIGNING",16905.0,34.5,3
3731,"INTERIOR DESIGNING",17934.0,36.6,3
3923,"INTERIOR DESIGNING",18963.0,38.7,3
5075,"INTERIOR DESIGNING",13377.0,27.3,3
5081,"INTERIOR DESIGNING",13818.0,28.2,3
5087,"INTERIOR DESIGNING",14847.0,30.3,3
5099,"INTERIOR DESIGNING",15876.0,32.4,3
5123,"INTERIOR DESIGNING",16905.0,34.5,3
5171,"INTERIOR DESIGNING",17934.0,36.6,3
5267,"INTERIOR DESIGNING",18963.0,38.7,3
5459,"INTERIOR DESIGNING",19992.0,40.8,3
5843,"INTERIOR DESIGNING",21021.0,42.9,3
8147,"INTERIOR DESIGNING",14406.0,29.4,3
8153,"INTERIOR DESIGNING",14847.0,30.3,3
8159,"INTERIOR DESIGNING",15876.0,32.4,3
8171,"INTERIOR DESIGNING",16905.0,34.5,3
8195,"INTERIOR DESIGNING",17934.0,36.6,3
8243,"INTERIOR DESIGNING",18963.0,38.7,3
